Date,Forecast
2024-02-09,191.2077
2024-02-12,194.65395
2024-02-13,193.23851
2024-02-14,189.49928
2024-02-15,190.08675
2024-02-16,197.7518
2024-02-20,202.07506
2024-02-21,199.85263
2024-02-22,198.39786
2024-02-23,199.34192
2024-02-26,196.97285
2024-02-27,199.79338
2024-02-28,202.0225
2024-02-29,204.29251
2024-03-01,205.1588
2024-03-04,205.72781
2024-03-05,197.38243
2024-03-06,188.29506
2024-03-07,181.85754
2024-03-08,180.59395
2024-03-11,179.07399
2024-03-12,179.74509
2024-03-13,180.2657
2024-03-14,176.04811
2024-03-15,169.5468
2024-03-18,166.62856
2024-03-19,171.2153
2024-03-20,173.39313
2024-03-21,176.43755
2024-03-22,176.44365
2024-03-25,174.83202
2024-03-26,174.73396
2024-03-27,177.66048
2024-03-28,180.75723
2024-04-01,180.0463
2024-04-02,178.78203
2024-04-03,173.40984
2024-04-04,171.19708
2024-04-05,172.11928
2024-04-08,169.80109
2024-04-09,172.53035
2024-04-10,176.76254
2024-04-11,176.25552
2024-04-12,176.74904
2024-04-15,175.14534
2024-04-16,168.90512
2024-04-17,162.91837
2024-04-18,159.21309
2024-04-19,154.98453
2024-04-22,151.40584
2024-04-23,147.24223
2024-04-24,146.32721
2024-04-25,155.13283
2024-04-26,165.63872
2024-04-29,170.26915
2024-04-30,185.3739
2024-05-01,188.33632
2024-05-02,185.71634
2024-05-03,183.4717
2024-05-06,183.12967
2024-05-07,185.34998
2024-05-08,183.015
2024-05-09,179.61069
2024-05-10,176.38629
2024-05-13,173.04247
2024-05-14,173.32132
2024-05-15,177.12044
2024-05-16,177.57382
2024-05-17,177.69194
2024-05-20,179.05066
2024-05-21,178.46678
2024-05-22,184.27997
2024-05-23,184.40282
2024-05-24,180.04422
2024-05-28,180.30978
2024-05-29,179.78401
2024-05-30,179.17252
2024-05-31,180.3324
2024-06-03,180.78455
2024-06-04,179.91277
2024-06-05,178.45506
2024-06-06,177.7951
2024-06-07,179.21957
2024-06-10,179.98053
2024-06-11,178.21861
2024-06-12,175.27692
2024-06-13,177.29189
2024-06-14,181.89339
2024-06-17,182.04527
2024-06-18,186.63118
2024-06-20,187.96231
2024-06-21,186.19162
2024-06-24,185.66046
2024-06-25,185.35542
2024-06-26,187.9599
2024-06-27,194.7703
2024-06-28,199.15865
2024-07-01,200.97021
2024-07-02,208.3272
2024-07-03,225.32507
2024-07-05,243.5887
2024-07-08,254.24922
2024-07-09,257.68393
2024-07-10,263.85812
2024-07-11,266.86282
2024-07-12,252.32626
2024-07-15,250.03949
2024-07-16,253.93758
2024-07-17,259.0732
2024-07-18,255.69048
2024-07-19,253.82932
2024-07-22,246.55367
2024-07-23,251.43571
2024-07-24,251.34096
2024-07-25,230.81229
2024-07-26,223.58583
2024-07-29,222.23029
2024-07-30,230.43407
2024-07-31,229.10048
2024-08-01,233.23024
2024-08-02,225.79591
2024-08-05,215.61423
2024-08-06,205.88152
2024-08-07,203.11536
2024-08-08,197.84995
2024-08-09,199.53331
2024-08-12,201.99942
2024-08-13,201.74754
