Date,BND,SPY,TSLA
2015-01-02,62.3870964050293,172.59286499023438,14.620667457580566
2015-01-05,62.56825256347656,169.47592163085938,14.005999565124512
2015-01-06,62.749393463134766,167.8795928955078,14.085332870483398
2015-01-07,62.78715133666992,169.97161865234375,14.063332557678223
2015-01-08,62.689048767089844,172.98773193359375,14.041333198547363
2015-01-09,62.7946891784668,171.6015167236328,13.77733325958252
2015-01-12,62.877689361572266,170.25718688964844,13.480667114257812
2015-01-13,62.938133239746094,169.77833557128906,13.616666793823242
2015-01-14,63.08155822753906,168.75338745117188,12.845999717712402
2015-01-15,63.36081314086914,167.20750427246094,12.791333198547363
2015-01-16,63.172122955322266,169.4002685546875,12.871333122253418
2015-01-20,63.10419845581055,169.76156616210938,12.795332908630371
2015-01-21,62.983394622802734,170.61849975585938,13.104666709899902
2015-01-22,62.99845886230469,173.15579223632812,13.441332817077637
2015-01-23,63.202266693115234,172.20643615722656,13.419333457946777
2015-01-26,63.12684631347656,172.60968017578125,13.770000457763672
2015-01-27,63.16460037231445,170.33285522460938,13.732000350952148
2015-01-28,63.39104080200195,168.1484832763672,13.291333198547363
2015-01-29,63.323143005371094,169.7027587890625,13.680000305175781
2015-01-30,63.67030715942383,167.5687713623047,13.573332786560059
2015-02-02,63.59471130371094,169.64393615722656,14.062666893005371
2015-02-03,63.398006439208984,172.09718322753906,14.557332992553711
2015-02-04,63.420711517333984,171.4418487548828,14.569999694824219
2015-02-05,63.2845573425293,173.17259216308594,14.732666969299316
2015-02-06,62.87615966796875,172.69363403320312,14.490667343139648
2015-02-09,62.85346603393555,171.9207763671875,14.498666763305664
2015-02-10,62.73994827270508,173.7522735595703,14.419333457946777
2015-02-11,62.73994827270508,173.85311889648438,14.186667442321777
2015-02-12,62.77024841308594,175.52505493164062,13.525333404541016
2015-02-13,62.626548767089844,176.24758911132812,13.584667205810547
2015-02-17,62.37692642211914,176.52481079101562,13.623332977294922
2015-02-18,62.55086135864258,176.54161071777344,13.630666732788086
2015-02-19,62.4979133605957,176.41555786132812,14.11400032043457
2015-02-20,62.513065338134766,177.4741668701172,14.473999977111816
2015-02-23,62.6416130065918,177.44898986816406,13.822667121887207
2015-02-24,62.89879608154297,177.95306396484375,13.607333183288574
2015-02-25,62.95934295654297,177.80184936523438,13.583999633789062
2015-02-26,62.78539276123047,177.59176635742188,13.812666893005371
2015-02-27,62.838314056396484,176.98690795898438,13.555999755859375
2015-03-02,62.63519287109375,178.1042938232422,13.155332565307617
2015-03-03,62.559410095214844,177.37338256835938,13.303999900817871
2015-03-04,62.559410095214844,176.6256103515625,13.496000289916992
2015-03-05,62.59733963012695,176.81884765625,13.375332832336426
2015-03-06,62.23354721069336,174.33200073242188,12.925333023071289
2015-03-09,62.309326171875,175.05458068847656,12.725333213806152
2015-03-10,62.55184555053711,172.2147979736328,12.687999725341797
2015-03-11,62.62001419067383,171.81155395507812,12.916000366210938
2015-03-12,62.6655158996582,173.99595642089844,12.73799991607666
2015-03-13,62.60491943359375,172.92893981933594,12.578666687011719
2015-03-16,62.72618103027344,175.23931884765625,13.046667098999023
2015-03-17,62.779197692871094,174.71847534179688,12.982000350952148
2015-03-18,63.16566848754883,176.81884765625,13.380666732788086
2015-03-19,62.976261138916016,176.01231384277344,13.043333053588867
2015-03-20,63.14300537109375,177.5659637451172,13.20533275604248
2015-03-23,63.173248291015625,177.21994018554688,13.308667182922363
2015-03-24,63.27938461303711,176.22412109375,13.447999954223633
2015-03-25,63.180870056152344,173.64178466796875,12.953332901000977
